cortar,Camara,tiktok_id,url
no,normal,hammerthrow,https://www.tiktok.com/@esrefapak/video/6819997056015305990?is_copy_url=1&is_from_webapp=v1
si,normal,hammerthrow,https://www.tiktok.com/@sportjuice/video/6969271700751961349?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@esrefapak/video/6925057416153287937?is_copy_url=1&is_from_webapp=v1
si,normal,hammerthrow,https://www.tiktok.com/@itsnady_/video/6951874239825857798?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@4turnz/video/6938471939610529030?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@4turnz/video/6944161125382589701?is_copy_url=1&is_from_webapp=v1
si,normal,hammerthrow,https://www.tiktok.com/@world_of_throwing/video/6904715136548867330?is_copy_url=1&is_from_webapp=v1
si,normal,hammerthrow,https://www.tiktok.com/@world_of_throwing/video/6904715136548867330?is_copy_url=1&is_from_webapp=v1
si,normal,hammerthrow,https://www.tiktok.com/@world_of_throwing/video/6904715136548867330?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@thearianarodriguez/video/6974002292265716998?is_copy_url=1&is_from_webapp=v1
si,normal,hammerthrow,https://www.tiktok.com/@kira__paige/video/6855302690721893638?is_copy_url=1&is_from_webapp=v1
no,lento,hammerthrow,https://www.tiktok.com/@michaelbryan256/video/7023854107559546117?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@esrefapak/video/6981257556589038850?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@esrefapak/video/6931779942103403777?is_copy_url=1&is_from_webapp=v1
si,normal,hammerthrow,https://www.tiktok.com/@martymunyon/video/6916212176378252550?is_copy_url=1&is_from_webapp=v1
si,normal,hammerthrow,https://www.tiktok.com/@martymunyon/video/6916212176378252550?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@abrahammadridcoral/video/6847742794275081478?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@qywebert0/video/6808892999628573958?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@esrefapak/video/6916092744976878849?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@marcy_hello/video/6830040623584677126?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@esmeraldaballi/video/7053942673773841670?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@esrefapak/video/6824919293403221254?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@its.elisia/video/7041474751549754630?is_copy_url=1&is_from_webapp=v1
si,lento,hammerthrow,https://www.tiktok.com/@michaelbryan256/video/6958965865555496197?is_copy_url=1&is_from_webapp=v1
si,lento,hammerthrow,https://www.tiktok.com/@rohanhashmi310/video/6794730254620429570?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@esrefapak/video/6841216402184015110?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@itsnady_/video/6950077015080914182?is_copy_url=1&is_from_webapp=v1
si,lento,hammerthrow,https://www.tiktok.com/@danicortesilama/video/6972028621540134149?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@marcy_hello/video/6833689966837615877?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@4turnz/video/6970521752300555526?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@wave.tv/video/7012707540999867654?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@itsnady_/video/6952646242392378629?is_copy_url=1&is_from_webapp=v1
